Scheduler,Workload,Total Time (ms),Avg Turnaround Time (ms),Total Energy (mJ),Total Idle Time (ms),Energy Delay Product
Clustering,IO bound,3586,1403,23317,9846,83614762
Clustering,CPU bound,3162,944,33237,5829,105095394
Clustering,Mixed,3506,1187,29640,8243,103917840
Clustering,Sporadic,5087,966,40886,12773,207987082
Switcher,IO bound,3552,1400,23636,9739,83955072
Switcher,CPU bound,3053,935,33981,5383,103743993
Switcher,Mixed,3450,1143,29400,8280,101430000
Switcher,Sporadic,4853,954,41628,11957,202020684
Global,IO bound,3310,1316,45374,22957,150187940
Global,CPU bound,2933,1038,49634,14463,145576522
Global,Mixed,3269,1175,49287,19904,161119203
Global,Sporadic,4680,1012,70598,28439,330398640
Bonus,IO bound,3644,1537,17735,6609,64626340
Bonus,CPU bound,4712,2120,31920,3168,150407040
Bonus,Mixed,3805,1606,23784,3848,90498120
Bonus,Sporadic,5544,1718,35232,6512,195326208
